Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1995,23,MIN,AL,106.0,438.0,392.0,45.0,93.0,15.0,1.0,2.0,33.0,8.0,9.0,34.0,95.0,0.237,0.303,0.296,0.599,57.0,116.0,9.0,4.0,6.0,2.0,0.0,*8/97H,,8.3,
1965,24,CHC,NL,154.0,653.0,614.0,73.0,147.0,21.0,3.0,3.0,30.0,6.0,8.0,28.0,52.0,0.239,0.275,0.298,0.573,61.0,183.0,14.0,3.0,6.0,2.0,0.0,*4/H,,15.6,
2009,22,CHW,AL,103.0,430.0,378.0,58.0,102.0,28.0,1.0,14.0,63.0,7.0,4.0,41.0,65.0,0.27,0.347,0.46,0.808,106.0,174.0,10.0,6.0,1.0,4.0,0.0,5/H,RoY-5,5.5,
2015,25,TBR,AL,82.0,223.0,203.0,24.0,45.0,7.0,4.0,9.0,37.0,3.0,1.0,13.0,69.0,0.222,0.274,0.429,0.702,93.0,87.0,3.0,3.0,0.0,4.0,0.0,46HD/5,,3.2,
1957,25,WSH,AL,105.0,199.0,186.0,14.0,42.0,6.0,2.0,2.0,22.0,3.0,3.0,10.0,29.0,0.226,0.269,0.312,0.581,60.0,58.0,9.0,1.0,2.0,0.0,2.0,H3,,-2.8,
1962,26,MLN,NL,58.0,150.0,138.0,15.0,27.0,1.0,2.0,0.0,2.0,1.0,0.0,11.0,22.0,0.196,0.255,0.232,0.487,34.0,32.0,1.0,0.0,1.0,0.0,0.0,7H/8,,-0.9,
1967,23,BAL,AL,69,205,184,19,32,5,0,1,10,6,1,12,46,.174,.224,.217,.442,32,40,3,0,9,0,1,64H/5,,41.0,
1953,22,BRO,NL,69.0,180.0,163.0,19.0,39.0,3.0,2.0,11.0,34.0,0.0,0.0,16.0,40.0,0.239,0.311,0.485,0.796,101.0,79.0,2.0,1.0,0.0,,4.0,3H,,0.2,
1935,27,SLB,AL,76.0,237.0,220.0,20.0,55.0,8.0,2.0,3.0,17.0,1.0,1.0,16.0,16.0,0.25,0.304,0.345,0.649,65.0,76.0,,1.0,0.0,,0.0,9H37/5,,3.2,
1972,20,CLE,AL,132,505,466,49,119,21,1,9,36,5,6,34,29,.255,.310,.363,.672,97,169,5,3,1,1,8,*98/5H,,66.3,
1996,23,STL,NL,62,158,145,12,31,6,0,1,9,1,1,10,22,.214,.268,.276,.543,45,40,3,1,0,1,2,54/H6,,15.2,
1992,23,TOR,AL,61.0,184.0,161.0,23.0,39.0,6.0,3.0,2.0,15.0,7.0,2.0,15.0,34.0,0.242,0.324,0.354,0.678,88.0,57.0,6.0,5.0,2.0,1.0,1.0,789/HD,,13.1,
1939,26,PIT,NL,83.0,309.0,262.0,44.0,75.0,5.0,8.0,2.0,34.0,2.0,4.0,42.0,18.0,0.286,0.385,0.389,0.774,110.0,102.0,4.0,0.0,5.0,,4.0,87H/95,,1.0,
1981,21,TOR,AL,60.0,168.0,163.0,19.0,38.0,2.0,1.0,5.0,12.0,3.0,2.0,5.0,27.0,0.233,0.256,0.35,0.606,69.0,57.0,1.0,0.0,0.0,0.0,1.0,79H/D,RoY-8,20.0,
1950,21,PIT,NL,111,456,422,62,119,22,11,8,53,4,4,28,46,.282,.333,.443,.776,100,187,4,4,2,,1,*9/H,,15.7,
1988,22,CLE,AL,73,236,211,23,46,5,1,2,21,4,2,21,53,.218,.289,.280,.569,59,59,3,1,1,2,0,6/HD,,37.1,
2010,23,BAL,AL,53.0,161.0,159.0,15.0,34.0,5.0,0.0,3.0,12.0,0.0,1.0,2.0,53.0,0.214,0.224,0.302,0.525,43.0,48.0,4.0,0.0,0.0,0.0,0.0,5/DH,,-1.1,
1991,23,BAL,AL,100,223,209,26,36,9,2,1,15,0,0,8,51,.172,.201,.249,.450,26,52,1,0,4,2,0,4H6/D7,,0.3,
1976,20,CHW,AL,68.0,258.0,230.0,24.0,57.0,7.0,6.0,5.0,20.0,2.0,1.0,18.0,56.0,0.248,0.302,0.396,0.697,103.0,91.0,3.0,1.0,6.0,3.0,0.0,5/DH,,0.2,
1959,28,KCA,AL,47.0,93.0,82.0,10.0,17.0,2.0,1.0,1.0,9.0,0.0,0.0,9.0,14.0,0.207,0.293,0.293,0.586,61.0,24.0,5.0,1.0,1.0,0.0,0.0,H97/3,,-0.7,
1989,22,CLE,AL,62.0,234.0,218.0,22.0,49.0,8.0,4.0,7.0,37.0,2.0,2.0,12.0,55.0,0.225,0.269,0.394,0.664,85.0,86.0,4.0,2.0,0.0,2.0,0.0,9D7/H,,40.1,
1997,22,OAK,AL,68.0,261.0,224.0,33.0,51.0,9.0,1.0,6.0,19.0,7.0,1.0,32.0,70.0,0.228,0.324,0.357,0.681,81.0,80.0,1.0,0.0,5.0,0.0,0.0,54H/D6,,8.0,
1986,24,PIT,NL,117,350,309,33,72,5,2,0,31,12,2,26,54,.233,.298,.262,.560,55,81,8,3,11,1,6,64/H,,-0.1,
1999,24,MIL,NL,124,531,457,60,135,29,4,8,58,4,5,64,59,.295,.379,.429,.808,106,196,16,0,6,4,0,*4/H56,,20.8,
2000,31,NYY,AL,98.0,209.0,184.0,33.0,38.0,8.0,2.0,6.0,21.0,5.0,0.0,17.0,48.0,0.207,0.288,0.37,0.658,66.0,68.0,1.0,5.0,1.0,2.0,1.0,845H73/69,,-0.2,
1975,26,ATL,NL,43,118,105,11,23,2,1,0,9,0,0,7,8,0.219,0.268,0.257,0.525,45.0,27,5.0,0,6,0,0.0,6/H4,,-1.9,
1999,22,KCR,AL,156,723,663,112,194,27,7,22,108,27,8,46,123,.293,.337,.454,.791,99,301,17,4,0,10,2,*8/DH,RoY-1,70.1,
1998,19,LAD,NL,77,214,195,18,42,9,0,7,22,3,1,14,37,.215,.278,.369,.648,73,72,4,3,2,0,0,5/H6,,93.5,
1992,24,CHW,AL,49.0,116.0,110.0,21.0,21.0,2.0,0.0,1.0,10.0,1.0,0.0,3.0,18.0,0.191,0.211,0.236,0.447,26.0,26.0,3.0,0.0,2.0,1.0,0.0,6/HD,,-2.1,
1996,25,SFG,NL,135,558,488,89,121,17,4,5,27,25,11,59,84,0.248,0.333,0.33,0.663,80.0,161,8,4,6,1,2,*89/H7,,8.6,
1992,26,CIN,NL,74.0,186.0,173.0,14.0,40.0,10.0,1.0,1.0,17.0,0.0,1.0,10.0,34.0,0.231,0.277,0.318,0.595,66.0,55.0,3.0,1.0,2.0,0.0,4.0,46H/5,,-0.7,
1968,20,CIN,NL,154,607,564,67,155,40,2,15,82,1,5,31,96,.275,.311,.433,.743,117,244,14,2,2,8,8,*2/H,"AS,MVP-16,RoY-1,GG",75.1,
1979,23,ATL,NL,76,242,204,14,46,11,0,0,15,1,3,33,18,0.225,0.331,0.279,0.61,64.0,57,4.0,0,2,2,3.0,2/H,,7.3,
1974,24,BOS,AL,106,423,389,60,104,14,3,5,33,19,11,25,61,.267,.313,.357,.670,87,139,9,1,7,1,2,8H/7D,,9.9,
1997,24,KCR,AL,53.0,204.0,191.0,22.0,51.0,7.0,1.0,8.0,21.0,2.0,2.0,10.0,49.0,0.267,0.307,0.44,0.747,92.0,84.0,2.0,1.0,2.0,0.0,0.0,79/H,,-0.6,
1991,25,SFG,NL,54,120,106,12,13,3,0,2,8,3,0,7,26,.123,.188,.208,.396,14,22,1,2,3,2,2,6H/5,,6.7,
1941,27,PHI,NL,129.0,508.0,480.0,47.0,113.0,20.0,7.0,3.0,27.0,17.0,6.0,20.0,81.0,0.235,0.266,0.325,0.591,70.0,156.0,14.0,0.0,8.0,,0.0,*98H/3475,,-2.5,
2001,29,TOT,NL,46.0,148.0,131.0,15.0,32.0,6.0,1.0,2.0,10.0,0.0,0.0,12.0,24.0,0.244,0.308,0.351,0.659,66.0,46.0,1.0,1.0,2.0,2.0,4.0,2/H,,-3.1,
1987,24,BOS,AL,73.0,253.0,223.0,36.0,62.0,11.0,1.0,8.0,43.0,5.0,4.0,22.0,41.0,0.278,0.344,0.444,0.788,106.0,99.0,5.0,2.0,3.0,3.0,3.0,97H/83,,-2.7,
1939,22,SLB,AL,126,515,468,42,120,24,5,5,58,6,2,37,36,.256,.314,.361,.675,71,169,10,2,8,,3,*4/5H6,,-2.3,
1956,26,WSH,AL,95,256,207,25,54,6,3,4,27,0,0,46,33,.261,.402,.377,.779,111,78,7,3,0,0,9,2H,,3.7,
1998,27,FLA,NL,81.0,215.0,182.0,18.0,57.0,11.0,0.0,2.0,21.0,3.0,0.0,26.0,46.0,0.313,0.393,0.407,0.8,117.0,74.0,1.0,0.0,4.0,3.0,1.0,45H6,,1.1,
1944,27,STL,NL,80,231.0,192.0,35.0,55.0,6.0,3.0,2.0,19.0,0.0,0.0,35.0,23.0,0.286,0.399,0.38,0.779,117.0,73.0,2.0,1.0,3.0,,0.0,H79/38,,3.3,
2002,27,KCR,AL,51,145,134,16,27,5,1,6,17,1,0,8,32,0.201,0.255,0.388,0.643,62.0,52,2,2,0,1,2,97D/H83,,-1.3,
1930,24,BSN,NL,151,628,555,98,172,27,14,38,119,3,4,54,69,.310,.375,.614,.990,137,341,,4,12,,7,*7/H,,42.6,
2000,22,MON,NL,148.0,592.0,518.0,80.0,127.0,25.0,7.0,5.0,31.0,11.0,13.0,58.0,100.0,0.245,0.32,0.349,0.669,67.0,181.0,4.0,0.0,14.0,2.0,0.0,*87/H,,-2.8,
1978,25,HOU,NL,104,228,186,15,43,5,1,0,12,2,0,39,32,.231,.361,.269,.630,86,50,5,0,1,2,9,3H7,,6.7,
2000,24,HOU,NL,114,417,353,76,105,28,1,21,67,6,2,56,73,.297,.388,.561,.949,130,198,6,1,0,7,1,97H/3,RoY-6,52.0,
2010,26,WSN,NL,134.0,461.0,414.0,52.0,102.0,18.0,3.0,11.0,47.0,16.0,2.0,35.0,93.0,0.246,0.307,0.384,0.691,86.0,159.0,3.0,4.0,2.0,6.0,1.0,*978/H,,1.4,
1980,23,MON,NL,82.0,202.0,183.0,26.0,41.0,7.0,1.0,5.0,18.0,9.0,2.0,17.0,41.0,0.224,0.289,0.355,0.644,79.0,65.0,3.0,0.0,1.0,1.0,4.0,4H6,,13.2,
