Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1953,25,SLB,AL,154.0,604.0,567.0,50.0,124.0,18.0,1.0,1.0,37.0,3.0,1.0,24.0,45.0,0.219,0.253,0.259,0.512,37.0,147.0,12.0,2.0,11.0,,4.0,*6/H,AS,-1.9,
1991,23,ATL,NL,97.0,291.0,271.0,32.0,68.0,16.0,1.0,12.0,50.0,0.0,2.0,17.0,48.0,0.251,0.296,0.45,0.746,102.0,122.0,6.0,1.0,0.0,2.0,0.0,3H/79,RoY-4,0.2,
1995,24,HOU,NL,78.0,349.0,321.0,52.0,97.0,14.0,5.0,2.0,28.0,24.0,7.0,21.0,52.0,0.302,0.346,0.396,0.741,103.0,127.0,2.0,2.0,2.0,3.0,0.0,8/H,RoY-7,7.4,
1999,23,MIN,AL,135,422,384,52,98,17,2,9,35,10,6,26,72,.255,.309,.380,.689,73,146,9,6,1,5,1,*879H,,50.7,
1969,23,STL,NL,71.0,166.0,139.0,13.0,27.0,4.0,0.0,3.0,13.0,0.0,0.0,27.0,34.0,0.194,0.325,0.288,0.613,74.0,40.0,5.0,0.0,0.0,0.0,7.0,64/5H,,0.8,
1978,20,KCR,AL,133.0,481.0,417.0,48.0,110.0,25.0,5.0,7.0,56.0,1.0,3.0,56.0,84.0,0.264,0.348,0.398,0.746,108.0,166.0,6.0,1.0,1.0,6.0,1.0,397H/5D,,2.7,
1996,24,NYM,NL,118.0,445.0,414.0,43.0,115.0,16.0,2.0,15.0,60.0,1.0,2.0,27.0,77.0,0.278,0.319,0.435,0.754,101.0,180.0,10.0,0.0,0.0,4.0,3.0,39/5H,,0.8,
1990,25,TEX,AL,145.0,454.0,396.0,57.0,95.0,12.0,2.0,0.0,28.0,12.0,4.0,46.0,54.0,0.24,0.32,0.28,0.6,70.0,111.0,8.0,2.0,7.0,3.0,0.0,*65H4,,2.2,
1970,22,PHI,NL,57.0,101.0,92.0,7.0,17.0,2.0,0.0,3.0,12.0,0.0,0.0,5.0,20.0,0.185,0.222,0.304,0.527,42.0,28.0,3.0,0.0,2.0,2.0,0.0,H73/925,,-0.5,
1972,26,PHI,NL,134.0,443.0,381.0,40.0,99.0,16.0,2.0,4.0,38.0,5.0,8.0,56.0,24.0,0.26,0.354,0.344,0.698,98.0,131.0,9.0,0.0,5.0,1.0,4.0,39H/78,,-0.6,
1994,22,SDP,NL,52.0,129.0,118.0,13.0,30.0,3.0,0.0,0.0,7.0,3.0,0.0,9.0,15.0,0.254,0.307,0.28,0.587,57.0,33.0,1.0,0.0,2.0,0.0,0.0,3H/9,,-1.2,
2001,29,PIT,NL,51.0,77.0,72.0,7.0,15.0,1.0,0.0,5.0,9.0,0.0,1.0,4.0,18.0,0.208,0.26,0.431,0.69,72.0,31.0,1.0,1.0,0.0,0.0,0.0,H9/738,,-0.2,
2007,24,COL,NL,67.0,234.0,197.0,22.0,43.0,8.0,3.0,4.0,27.0,0.0,0.0,29.0,58.0,0.218,0.33,0.35,0.681,72.0,69.0,3.0,5.0,1.0,2.0,3.0,2/H,,15.0,
1999,27,SEA,AL,87,227,209,23,54,7,0,9,27,5,1,17,32,.258,.313,.421,.734,84,88,4,0,0,1,1,9H73/2D,,20.9,
2013,23,TOT,AL,109.0,382.0,350.0,39.0,106.0,16.0,2.0,3.0,29.0,5.0,2.0,15.0,60.0,0.303,0.349,0.386,0.735,101.0,135.0,7.0,11.0,4.0,2.0,0.0,65/4DH,RoY-2,11.7,
2005,30,CHW,AL,135.0,582.0,511.0,74.0,142.0,25.0,6.0,15.0,71.0,15.0,5.0,47.0,114.0,0.278,0.342,0.438,0.78,104.0,224.0,16.0,6.0,11.0,6.0,0.0,*4/H,RoY-4,6.4,
1986,22,TEX,AL,153,606,540,82,135,21,2,30,88,3,2,55,185,.250,.320,.463,.783,109,250,9,4,0,7,2,*9D/H7,,10.3,
2014,23,ARI,NL,118.0,447.0,418.0,54.0,116.0,18.0,2.0,4.0,27.0,19.0,3.0,25.0,53.0,0.278,0.318,0.359,0.677,89.0,150.0,3.0,0.0,4.0,0.0,0.0,*87H/9,RoY-5,17.9,
2003,21,DET,AL,69,244,221,24,49,6,1,0,8,6,3,18,37,.222,.278,.258,.536,48,57,1,0,3,2,0,6/54H,,16.9,
2001,24,DET,AL,79.0,202.0,189.0,13.0,34.0,11.0,0.0,0.0,15.0,1.0,4.0,9.0,41.0,0.18,0.215,0.238,0.453,24.0,45.0,2.0,0.0,2.0,2.0,0.0,2/H,,19.2,
2006,28,CLE,AL,64.0,222.0,201.0,26.0,57.0,8.0,3.0,2.0,21.0,5.0,1.0,14.0,39.0,0.284,0.332,0.383,0.715,86.0,77.0,1.0,1.0,5.0,1.0,0.0,4/H78D6,,4.9,
1995,24,LAD,NL,44.0,66.0,55.0,5.0,11.0,2.0,0.0,0.0,3.0,3.0,0.0,9.0,8.0,0.2,0.313,0.236,0.549,54.0,13.0,0.0,0.0,2.0,0.0,0.0,H5/47,,0.1,
1977,27,TOT,NL,42.0,69.0,62.0,5.0,15.0,2.0,0.0,0.0,6.0,0.0,1.0,6.0,7.0,0.242,0.304,0.274,0.579,56.0,17.0,1.0,0.0,0.0,1.0,0.0,H/379,,0.3,
1980,25,TOR,AL,80.0,237.0,222.0,24.0,55.0,10.0,1.0,2.0,14.0,2.0,1.0,12.0,39.0,0.248,0.286,0.329,0.615,65.0,73.0,5.0,0.0,3.0,0.0,0.0,45H73/D86,,3.4,
1950,31,NYG,NL,110,432,374,61,112,19,5,15,66,3,1,52,41,.299,.392,.497,.889,131,186,7,5,1,,3,397/H5,,32.1,
2009,25,SFG,NL,120.0,363.0,326.0,49.0,85.0,10.0,2.0,9.0,39.0,2.0,2.0,30.0,89.0,0.261,0.329,0.387,0.715,87.0,126.0,7.0,4.0,1.0,2.0,3.0,*3H,,1.1,
1975,22,SDP,NL,111.0,411.0,377.0,36.0,94.0,16.0,2.0,8.0,46.0,4.0,4.0,20.0,63.0,0.249,0.291,0.366,0.657,87.0,138.0,12.0,4.0,5.0,5.0,2.0,35H/2,,7.3,
2007,28,TBD,AL,123.0,559.0,491.0,82.0,140.0,21.0,10.0,7.0,34.0,12.0,8.0,58.0,114.0,0.285,0.359,0.411,0.77,105.0,202.0,2.0,1.0,4.0,5.0,0.0,*5/4DH,,4.5,
2001,21,TOR,AL,46,140,134,19,36,6,2,2,9,8,1,2,15,.269,.279,.388,.667,73,52,0,0,4,0,0,4/6H,,6.1,
2005,24,LAA,AL,77.0,210.0,191.0,18.0,47.0,8.0,4.0,1.0,15.0,9.0,3.0,17.0,21.0,0.246,0.306,0.346,0.652,75.0,66.0,5.0,0.0,1.0,1.0,2.0,56/H48,,11.3,
1953,26,STL,NL,157.0,640.0,604.0,64.0,162.0,23.0,5.0,21.0,112.0,2.0,2.0,34.0,61.0,0.268,0.308,0.427,0.735,89.0,258.0,15.0,1.0,1.0,,2.0,*5,RoY-3,2.9,
2021,25,TOT,NL,52.0,151.0,131.0,13.0,18.0,4.0,0.0,3.0,12.0,0.0,0.0,13.0,73.0,0.137,0.252,0.237,0.488,33.0,31.0,0.0,7.0,0.0,0.0,1.0,2H/9,,-0.9,
2010,23,DET,AL,151.0,675.0,618.0,103.0,181.0,34.0,10.0,4.0,41.0,27.0,6.0,47.0,170.0,0.293,0.345,0.4,0.745,102.0,247.0,5.0,4.0,3.0,3.0,4.0,*8/H,RoY-2,22.1,
1987,24,KCR,AL,116.0,434.0,396.0,46.0,93.0,17.0,2.0,22.0,53.0,10.0,4.0,30.0,158.0,0.235,0.296,0.455,0.75,94.0,180.0,3.0,5.0,1.0,2.0,0.0,*78/H9D,,8.3,
2012,23,CHC,NL,44.0,142.0,120.0,14.0,21.0,6.0,1.0,4.0,9.0,0.0,3.0,22.0,59.0,0.175,0.303,0.342,0.644,75.0,41.0,1.0,0.0,0.0,0.0,0.0,8/H,,0.0,
1988,25,HOU,NL,46.0,93.0,83.0,7.0,19.0,5.0,1.0,1.0,8.0,1.0,1.0,7.0,16.0,0.229,0.286,0.349,0.635,85.0,29.0,2.0,0.0,2.0,1.0,4.0,5H/698,,0.3,
2005,23,ARI,NL,40.0,99.0,85.0,8.0,17.0,3.0,0.0,2.0,8.0,0.0,0.0,12.0,11.0,0.2,0.303,0.306,0.609,59.0,26.0,6.0,1.0,0.0,1.0,0.0,3H/7,,2.2,
1999,25,SDP,NL,133.0,447.0,388.0,56.0,87.0,20.0,2.0,9.0,39.0,34.0,10.0,53.0,105.0,0.224,0.32,0.356,0.676,77.0,138.0,2.0,3.0,0.0,3.0,3.0,64H/79,,6.6,
1988,24,CHC,NL,100,197,188,29,50,11,3,6,20,4,1,5,28,.266,.287,.452,.739,106,85,3,1,2,1,1,8H97,,11.3,
1951,25,CHC,NL,145.0,609.0,557.0,78.0,153.0,24.0,6.0,16.0,76.0,14.0,3.0,47.0,44.0,0.275,0.332,0.425,0.758,101.0,237.0,21.0,1.0,4.0,,3.0,*5/H,,12.4,
1968,22,OAK,AL,154,614,553,82,138,13,6,29,74,14,4,50,171,.250,.316,.452,.768,138,250,3,5,4,2,5,*98/H7,MVP-17,73.9,
1954,20,CHW,AL,40.0,107.0,93.0,10.0,26.0,4.0,0.0,4.0,10.0,2.0,1.0,6.0,20.0,0.28,0.333,0.452,0.785,111.0,42.0,1.0,2.0,5.0,1.0,0.0,3/H,,0.4,
1976,23,CAL,AL,127.0,454.0,410.0,44.0,93.0,18.0,3.0,8.0,40.0,5.0,4.0,30.0,58.0,0.227,0.289,0.344,0.633,91.0,141.0,10.0,7.0,4.0,3.0,1.0,*5H/4D79,,7.3,
1998,26,FLA,NL,111.0,284.0,260.0,26.0,65.0,15.0,1.0,5.0,31.0,1.0,1.0,20.0,73.0,0.25,0.305,0.373,0.678,82.0,97.0,3.0,1.0,2.0,1.0,0.0,3H97/D,,-2.0,
1966,21,HOU,NL,150.0,670.0,596.0,80.0,174.0,6.0,5.0,3.0,25.0,49.0,14.0,42.0,53.0,0.292,0.341,0.334,0.674,95.0,199.0,9.0,3.0,27.0,2.0,0.0,*6,RoY-2,1.6,
2006,25,FLA,NL,136.0,520.0,469.0,54.0,123.0,37.0,1.0,20.0,77.0,3.0,0.0,45.0,105.0,0.262,0.325,0.473,0.798,106.0,222.0,16.0,1.0,0.0,5.0,2.0,*3H/D,,-2.4,
1954,28,PHA,AL,132.0,575.0,508.0,63.0,131.0,11.0,1.0,0.0,26.0,17.0,3.0,60.0,22.0,0.258,0.336,0.283,0.619,71.0,144.0,5.0,0.0,6.0,1.0,0.0,*4/H,,-1.3,
2004,28,SEA,AL,42,176,160,17,44,9,0,9,28,0,0,14,47,0.275,0.335,0.5,0.835,117.0,80,3,1,0,1,0,3D/H,,0.6,
1984,24,CLE,AL,126.0,483.0,439.0,64.0,116.0,19.0,3.0,7.0,40.0,3.0,2.0,32.0,73.0,0.264,0.314,0.369,0.683,87.0,162.0,13.0,3.0,2.0,7.0,0.0,*5/6,,15.0,
1992,26,MIL,AL,47.0,152.0,133.0,17.0,30.0,3.0,1.0,2.0,10.0,10.0,0.0,12.0,30.0,0.226,0.291,0.308,0.6,70.0,41.0,1.0,2.0,1.0,4.0,1.0,3/DH7,,12.4,
1960,22,STL,NL,43.0,51.0,50.0,5.0,9.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,12.0,0.18,0.196,0.32,0.516,34.0,16.0,0.0,0.0,0.0,0.0,0.0,7H/98,,-1.6,
1987,24,PHI,NL,115.0,391.0,358.0,48.0,105.0,20.0,6.0,17.0,54.0,3.0,1.0,27.0,67.0,0.293,0.344,0.525,0.869,124.0,188.0,4.0,2.0,1.0,3.0,0.0,78H/9,RoY-6,5.0,
1970,29,CHC,NL,100.0,200.0,176.0,33.0,37.0,7.0,2.0,3.0,14.0,5.0,0.0,17.0,24.0,0.21,0.298,0.324,0.622,60.0,57.0,3.0,5.0,2.0,0.0,5.0,8H/79,,-1.2,
1984,21,MIL,AL,128.0,431.0,387.0,52.0,114.0,19.0,5.0,1.0,30.0,10.0,10.0,32.0,41.0,0.295,0.351,0.377,0.728,106.0,146.0,7.0,3.0,6.0,3.0,1.0,*98H/7,,6.2,
1978,28,SFG,NL,41,26,21,5,2,1,0,0,3,1,0,4,5,0.095,0.24,0.143,0.383,12.0,3,2.0,0,1,0,0.0,3H,,0.0,
2009,26,CIN,NL,90.0,292.0,256.0,36.0,54.0,21.0,0.0,1.0,16.0,2.0,0.0,26.0,40.0,0.211,0.296,0.305,0.601,60.0,78.0,8.0,5.0,5.0,0.0,1.0,6/H51,,-0.1,
1953,23,PIT,NL,42,131,123,10,31,3,1,2,8,0,1,5,31,0.252,0.287,0.341,0.628,64,42,3,1,2,,0,2/H,,-1.3,
2009,26,PIT,NL,63,224,206,20,52,14,0,3,26,1,0,17,33,0.252,0.309,0.364,0.673,79.0,75,11,0,1,0,2,2/H,,-0.8,
2010,26,TBR,AL,109.0,404.0,339.0,57.0,89.0,18.0,3.0,5.0,44.0,4.0,0.0,59.0,39.0,0.263,0.372,0.378,0.75,111.0,128.0,8.0,2.0,1.0,3.0,1.0,2HD/3,RoY-5,10.9,
1960,23,STL,NL,119.0,488.0,451.0,55.0,107.0,19.0,8.0,4.0,21.0,19.0,4.0,21.0,72.0,0.237,0.273,0.341,0.614,62.0,154.0,7.0,1.0,15.0,0.0,1.0,*4,,13.8,
1986,22,OAK,AL,59,131,114,13,23,8,0,0,8,8,0,16,27,.202,.305,.272,.577,65,31,2,1,0,0,0,8H/7D,,25.4,
2010,25,STL,NL,105.0,323.0,287.0,47.0,86.0,19.0,2.0,4.0,27.0,2.0,4.0,24.0,50.0,0.3,0.359,0.422,0.78,113.0,121.0,5.0,3.0,8.0,1.0,0.0,9H8/7,,12.7,
1948,23,CHC,NL,134.0,512.0,473.0,53.0,132.0,16.0,4.0,4.0,42.0,8.0,3.0,24.0,68.0,0.279,0.315,0.355,0.67,85.0,168.0,6.0,1.0,14.0,,2.0,*8H,,8.2,
1989,21,NYM,NL,141.0,559.0,508.0,72.0,131.0,28.0,2.0,12.0,56.0,21.0,6.0,39.0,46.0,0.258,0.314,0.392,0.706,106.0,199.0,16.0,5.0,2.0,5.0,8.0,*45/H,RoY-3,19.5,
1993,24,CLE,AL,113.0,403.0,366.0,35.0,91.0,11.0,2.0,10.0,34.0,1.0,3.0,28.0,78.0,0.249,0.31,0.372,0.682,83.0,136.0,7.0,5.0,3.0,1.0,7.0,DH3,,4.5,
1987,24,SDP,NL,116.0,469.0,422.0,59.0,97.0,8.0,7.0,8.0,29.0,34.0,11.0,39.0,92.0,0.23,0.296,0.339,0.635,71.0,143.0,6.0,2.0,3.0,3.0,2.0,87H,,-0.3,
1985,26,PHI,NL,89.0,228.0,196.0,17.0,37.0,4.0,1.0,0.0,12.0,1.0,1.0,26.0,55.0,0.189,0.283,0.219,0.502,41.0,43.0,6.0,0.0,5.0,1.0,4.0,6/H,,-0.3,
1998,23,MIL,NL,84.0,285.0,262.0,33.0,60.0,12.0,1.0,9.0,28.0,1.0,3.0,20.0,61.0,0.229,0.288,0.385,0.673,76.0,101.0,7.0,2.0,0.0,1.0,4.0,7H/9,,21.9,
1951,25,SLB,AL,64,224.0,195.0,20.0,35.0,10.0,2.0,0.0,13.0,1.0,0.0,26.0,42.0,0.179,0.276,0.251,0.527,42.0,49.0,4.0,0.0,3.0,,0.0,6.0,,-1.6,
2011,24,TBR,AL,63,287,247,44,64,9,4,10,25,20,6,31,59,0.259,0.356,0.449,0.805,127.0,111,1,6,3,0,1,7/8HD9,RoY-7,13.4,
1988,23,OAK,AL,71,128,101,9,21,6,0,1,15,0,1,21,28,.208,.346,.297,.643,85,30,1,2,1,3,1,H73/9D,,-0.6,
1950,23,NYY,AL,45.0,78.0,70.0,13.0,12.0,2.0,2.0,1.0,5.0,4.0,0.0,7.0,8.0,0.171,0.247,0.3,0.547,41.0,21.0,3.0,0.0,1.0,,0.0,H7/9,,27.9,
2000,27,MIN,AL,52.0,164.0,139.0,16.0,29.0,7.0,1.0,3.0,14.0,0.0,1.0,24.0,36.0,0.209,0.325,0.338,0.663,66.0,47.0,3.0,0.0,1.0,0.0,0.0,2/HD,,-0.8,
1971,24,TOT,NL,78.0,207.0,192.0,17.0,55.0,13.0,0.0,0.0,13.0,1.0,3.0,11.0,24.0,0.286,0.324,0.354,0.678,98.0,68.0,9.0,0.0,3.0,1.0,0.0,54/H6,,-0.3,
1996,22,NYY,AL,157,654,582,104,183,25,6,10,78,14,7,48,102,.314,.370,.430,.800,101,250,13,9,6,9,1,*6,RoY-1,71.3,
1970,25,PIT,NL,85.0,140.0,126.0,27.0,30.0,3.0,2.0,2.0,12.0,9.0,5.0,13.0,34.0,0.238,0.314,0.341,0.656,78.0,43.0,3.0,1.0,0.0,0.0,1.0,H798,,-0.2,
1950,33,BSN,NL,141.0,642.0,582.0,100.0,159.0,28.0,8.0,18.0,58.0,35.0,9.0,52.0,93.0,0.273,0.338,0.442,0.78,109.0,257.0,8.0,5.0,3.0,,1.0,*8,"MVP-27,RoY-1",14.9,
2001,23,SDP,NL,86.0,349.0,308.0,45.0,85.0,19.0,0.0,3.0,33.0,2.0,3.0,39.0,68.0,0.276,0.355,0.367,0.722,96.0,113.0,9.0,0.0,0.0,2.0,4.0,6/H,,8.1,
1984,26,MIN,AL,108,317,298,28,60,11,1,0,19,0,1,15,34,.201,.238,.245,.483,32,73,7,0,2,2,0,6/H,,-1.3,
1962,25,KCA,AL,139.0,528.0,479.0,48.0,144.0,24.0,2.0,11.0,69.0,0.0,1.0,31.0,34.0,0.301,0.354,0.428,0.782,106.0,205.0,12.0,11.0,2.0,5.0,3.0,*7H/9,,-0.9,
2006,30,SEA,AL,144,542,506,61,147,25,1,18,76,3,1,20,46,0.291,0.332,0.451,0.783,103.0,228,15,13,0,3,1,*2/H,RoY-4,5.3,
1964,21,PHI,NL,43.0,116.0,109.0,18.0,33.0,7.0,1.0,4.0,18.0,1.0,2.0,6.0,26.0,0.303,0.345,0.495,0.84,135.0,54.0,1.0,1.0,0.0,0.0,1.0,7/H9,,10.0,
2006,25,SDP,NL,58.0,135.0,120.0,19.0,30.0,5.0,2.0,4.0,12.0,3.0,0.0,14.0,36.0,0.25,0.333,0.425,0.758,101.0,51.0,3.0,1.0,0.0,0.0,2.0,H78/9,,0.2,
1943,24,NYY,AL,155,655,592,70,166,24,6,5,94,3,5,53,30,.280,.344,.367,.710,107,217,27,4,6,,6,*5,MVP-4,14.4,
1933,27,PHA,AL,142.0,627.0,535.0,103.0,155.0,44.0,4.0,21.0,93.0,8.0,3.0,85.0,74.0,0.29,0.387,0.505,0.892,135.0,270.0,,0.0,5.0,,0.0,*79/8H,MVP-15,55.5,
1960,24,KCA,AL,76,166,146,12,30,4,0,1,9,2,0,19,23,.205,.301,.253,.555,52,37,7,1,0,0,1,64H5,,8.2,
1983,23,TEX,AL,72,193,175,18,37,6,1,5,16,3,0,16,55,0.211,0.28,0.343,0.623,73.0,60,7.0,1,0,1,0.0,23/H,,0.2,
1995,27,SDP,NL,68.0,224.0,207.0,20.0,52.0,9.0,0.0,3.0,29.0,0.0,0.0,11.0,39.0,0.251,0.287,0.338,0.625,67.0,70.0,2.0,1.0,1.0,4.0,2.0,2H/3,,1.0,
1995,23,FLA,NL,97.0,371.0,315.0,40.0,79.0,15.0,1.0,11.0,39.0,0.0,2.0,46.0,71.0,0.251,0.351,0.41,0.761,101.0,129.0,11.0,4.0,4.0,2.0,2.0,*2,"RoY-7,GG",22.6,
2010,25,HOU,NL,94.0,362.0,341.0,40.0,105.0,22.0,2.0,11.0,52.0,3.0,0.0,15.0,91.0,0.308,0.337,0.481,0.818,121.0,164.0,8.0,2.0,0.0,4.0,2.0,5/H,,0.6,
1974,26,HOU,NL,83,210,171,26,39,4,1,10,29,0,1,33,45,.228,.357,.439,.796,127,75,5,3,0,3,1,H23,,16.2,
2005,25,OAK,AL,109.0,434.0,375.0,54.0,103.0,21.0,0.0,15.0,58.0,0.0,1.0,50.0,52.0,0.275,0.355,0.451,0.806,113.0,169.0,11.0,1.0,0.0,8.0,1.0,3/HD,,3.3,
1952,23,TOT,AL,51.0,132.0,115.0,12.0,26.0,2.0,1.0,0.0,10.0,1.0,0.0,16.0,13.0,0.226,0.321,0.261,0.581,62.0,30.0,3.0,0.0,1.0,,1.0,2H,,-0.6,
1966,23,BAL,AL,131.0,541.0,501.0,47.0,129.0,20.0,3.0,7.0,56.0,3.0,4.0,31.0,64.0,0.257,0.298,0.351,0.649,87.0,176.0,8.0,1.0,1.0,7.0,3.0,*4/6H,RoY-3,27.4,
1961,22,TOT,AL,96,325,302,32,63,11,3,8,44,0,1,16,49,.209,.247,.344,.591,57,104,11,1,1,5,1,975H/38,,6.2,
1944,32,CHC,NL,154,644,608,50.0,169,37,1,2,71.0,8.0,5.0,28.0,48.0,0.278,0.311,0.352,0.663,87.0,214,11.0,1.0,7.0,,6.0,*4,AS,5.5,
2011,27,TBR,AL,70.0,181.0,160.0,20.0,31.0,7.0,2.0,4.0,17.0,6.0,7.0,14.0,53.0,0.194,0.257,0.338,0.595,67.0,54.0,3.0,0.0,6.0,1.0,0.0,6H/438D7,,1.6,
1968,25,SFG,NL,67,188.0,174.0,11.0,33.0,2.0,0.0,1.0,7.0,1.0,0.0,12.0,23.0,0.19,0.246,0.218,0.464,40.0,38.0,3.0,1.0,1.0,0.0,2.0,5H/8674,,-2.3,
1982,21,DET,AL,54.0,173.0,155.0,23.0,49.0,5.0,0.0,4.0,14.0,7.0,4.0,16.0,30.0,0.316,0.384,0.426,0.81,123.0,66.0,3.0,1.0,1.0,0.0,1.0,5DH/978,,22.2,
2005,23,ATL,NL,87,334,290,46,70,12,3,9,40,2,1,40,75,.241,.334,.397,.731,91,115,11,1,2,1,1,7/HD,,16.6,
1976,25,CHW,AL,82.0,248.0,222.0,29.0,71.0,11.0,1.0,4.0,33.0,2.0,1.0,19.0,37.0,0.32,0.372,0.432,0.805,135.0,96.0,11.0,2.0,1.0,4.0,1.0,3DH/7,,5.9,
1989,25,CHW,AL,50.0,199.0,180.0,28.0,54.0,8.0,2.0,0.0,16.0,16.0,3.0,17.0,24.0,0.3,0.36,0.367,0.727,109.0,66.0,1.0,0.0,2.0,0.0,0.0,7/8HD,,30.2,
1962,27,MLN,NL,61.0,129.0,117.0,22.0,33.0,4.0,5.0,2.0,13.0,6.0,1.0,11.0,27.0,0.282,0.349,0.453,0.802,117.0,53.0,1.0,1.0,0.0,0.0,0.0,78H/9,,8.0,
1995,27,PIT,NL,79.0,261.0,221.0,32.0,46.0,6.0,1.0,13.0,28.0,5.0,2.0,37.0,66.0,0.208,0.326,0.421,0.746,95.0,93.0,2.0,2.0,0.0,1.0,2.0,3H,,0.5,
1999,23,CHW,AL,73.0,248.0,207.0,27.0,47.0,11.0,0.0,4.0,16.0,3.0,1.0,36.0,58.0,0.227,0.344,0.338,0.682,75.0,70.0,2.0,2.0,1.0,2.0,0.0,2/DH,,1.9,
2002,23,NYY,AL,129,441,378,56,92,15,0,15,58,1,3,48,98,.243,.347,.402,.749,99,152,11,12,3,0,5,3D/H7,,14.5,
1982,23,MIN,AL,89.0,271.0,234.0,26.0,58.0,10.0,0.0,10.0,33.0,0.0,0.0,30.0,46.0,0.248,0.325,0.419,0.744,101.0,98.0,3.0,0.0,0.0,7.0,2.0,DH/9,,-0.2,
1983,27,ATL,NL,86,169,144,22,36,3,0,1,17,1,3,20,27,0.25,0.345,0.292,0.637,73.0,42,4.0,1,4,0,3.0,5H/4,,2.6,
2003,26,TOR,AL,114.0,457.0,412.0,79.0,121.0,21.0,2.0,10.0,52.0,5.0,3.0,20.0,67.0,0.294,0.353,0.427,0.78,102.0,176.0,10.0,20.0,1.0,4.0,1.0,*97H/8D,,10.6,
2009,26,SEA,AL,80.0,290.0,258.0,21.0,55.0,19.0,2.0,2.0,27.0,1.0,1.0,26.0,60.0,0.213,0.289,0.326,0.615,66.0,84.0,11.0,2.0,3.0,1.0,1.0,2/H,,-1.0,
1999,26,HOU,NL,83.0,183.0,156.0,24.0,44.0,10.0,0.0,5.0,23.0,2.0,3.0,20.0,31.0,0.282,0.358,0.442,0.8,102.0,69.0,3.0,0.0,4.0,3.0,0.0,H54/6,,2.7,
1973,23,MIL,AL,136.0,510.0,465.0,39.0,99.0,10.0,2.0,0.0,32.0,6.0,3.0,29.0,93.0,0.213,0.259,0.243,0.502,44.0,113.0,10.0,1.0,11.0,4.0,2.0,*6/H,,-0.6,
1982,26,TOR,AL,70.0,111.0,98.0,17.0,23.0,2.0,1.0,3.0,14.0,3.0,13.0,11.0,26.0,0.235,0.309,0.367,0.676,79.0,36.0,1.0,0.0,1.0,1.0,1.0,HD7/89,,-1.1,
1986,29,MON,NL,61.0,134.0,127.0,13.0,36.0,3.0,1.0,1.0,10.0,6.0,3.0,7.0,9.0,0.283,0.321,0.346,0.667,85.0,44.0,2.0,0.0,0.0,0.0,0.0,H3,,0.3,
1979,24,SFG,NL,42.0,76.0,74.0,5.0,15.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,17.0,0.203,0.224,0.27,0.494,39.0,20.0,1.0,0.0,0.0,0.0,0.0,H7/98,,-0.9,
1966,20,CAL,AL,61,268,254,35,67,12,4,3,17,3,3,11,36,.264,.297,.378,.675,96,96,3,1,2,0,1,789,,16.8,
2007,21,SEA,AL,41.0,71.0,65.0,16.0,16.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,21.0,0.246,0.3,0.4,0.7,86.0,26.0,0.0,1.0,1.0,0.0,0.0,7H/89,,32.6,
1997,20,ATL,NL,153,467,399,60,92,18,1,18,70,20,11,56,107,.231,.329,.416,.745,93,166,11,4,5,3,2,*98H/7,RoY-5,62.7,
1976,26,CAL,AL,78.0,187.0,166.0,22.0,35.0,6.0,0.0,6.0,17.0,3.0,0.0,14.0,30.0,0.211,0.273,0.355,0.629,90.0,59.0,5.0,1.0,4.0,2.0,3.0,H897/D,,-0.5,
2008,24,ATL,NL,41,128,116,16,31,10,1,1,17,1,0,7,28,0.267,0.312,0.397,0.709,87.0,46,3,1,3,1,2,7H/9,,-0.3,
1995,23,ATL,NL,140,602,524,87,139,22,3,23,86,8,4,73,99,.265,.353,.450,.803,108,236,10,0,1,4,1,*57/9H,"MVP-18,RoY-2",85.3,
1991,25,CIN,NL,52.0,92.0,89.0,14.0,26.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,31.0,0.292,0.304,0.416,0.72,98.0,37.0,2.0,0.0,0.0,1.0,0.0,H7/98,,0.4,
1967,26,CHC,NL,53,155,135,13.0,34,7.0,0.0,2.0,16.0,0.0,0.0,14.0,33.0,0.252,0.314,0.348,0.662,86.0,47.0,2.0,0.0,2.0,4.0,3.0,9H3/7,,0.0,
1966,23,NYM,NL,139.0,537.0,495.0,74.0,136.0,16.0,4.0,8.0,57.0,16.0,8.0,30.0,62.0,0.275,0.318,0.372,0.689,94.0,184.0,13.0,3.0,5.0,4.0,2.0,*89H/7,RoY-4,18.0,
1964,20,BOS,AL,118.0,401.0,374.0,37.0,86.0,16.0,4.0,6.0,39.0,6.0,3.0,22.0,38.0,0.23,0.274,0.342,0.616,67.0,128.0,2.0,1.0,3.0,1.0,2.0,4H/56,,-3.7,
2009,28,PIT,NL,82.0,358.0,314.0,45.0,92.0,21.0,1.0,21.0,44.0,10.0,2.0,40.0,76.0,0.293,0.372,0.567,0.938,146.0,178.0,6.0,1.0,0.0,3.0,8.0,937,RoY-7,3.6,
